# LAMMPS data file written by OVITO Basic 3.10.6

19840 atoms
2 atom types

-11.0633971656 31.6283059282 xlo xhi
-12.7749106634 36.5212218833 ylo yhi
-68.1796914004 48.7639919485 zlo zhi

Masses

1 9.012182  # Be
2 2.014

Atoms  # atomic

131 1 12.7263950012 12.6964442771 -66.6082113651 0 0 0
135 1 14.9205932888 12.5172050042 -66.5651921016 0 0 0
139 1 17.4025476433 12.5417971833 -66.6636416661 0 0 0
143 1 19.8763857272 12.5882036857 -66.6300288819 0 0 0
163 1 10.2896289073 16.5165622609 -66.522010873 0 0 0
167 1 12.7020246783 16.7417023497 -66.7158566837 0 0 0
132 1 11.4695049625 14.5070546995 -66.6645112519 0 0 0
171 1 14.8932378931 16.5934285187 -66.3491086989 0 0 0
136 1 13.7544055957 14.6181643644 -66.8636368492 0 0 0
175 1 17.2712858089 16.6439161378 -66.6147584657 0 0 0
140 1 16.1464098146 14.5238208931 -66.6099395754 0 0 0
179 1 19.8156862975 16.6616054875 -66.5437621544 0 0 0
144 1 18.4935735153 14.5691357176 -66.6313943659 0 0 0
168 1 11.3686705664 18.6572513136 -66.6584574428 0 0 0
172 1 13.7020799234 18.7335182402 -66.4992493 0 0 0
176 1 16.0464115846 18.8207079182 -66.6767770686 0 0 0
148 1 -0.5725570221 18.7654207418 -66.6890538674 0 0 0
180 1 18.3849939898 18.7885360603 -66.6988695311 0 0 0
203 1 12.4404108706 20.6947476838 -66.7389741356 0 0 0
207 1 14.922981378 20.7721766659 -66.5749061652 0 0 0
211 1 17.4569407106 20.8372086319 -66.5730787375 0 0 0
215 1 19.8503942021 20.8786404234 -66.6222454087 0 0 0
204 1 11.3748273561 22.8102500146 -66.5272917647 0 0 0
208 1 13.8273638365 22.8064512214 -66.6858278011 0 0 0
212 1 16.1401381543 22.7578160853 -66.6806739023 0 0 0
216 1 18.5080042602 22.8539155303 -66.6913802549 0 0 0
347 1 12.6396445544 12.5469668203 -63.0700675503 0 0 0
125 1 11.4505847097 13.2586114089 -64.8762243657 0 0 0
351 1 15.0103094531 12.5260237458 -63.0730816879 0 0 0
129 1 13.7974936714 13.2429438199 -64.8331526658 0 0 0
355 1 17.378796032 12.5224624653 -63.0735985034 0 0 0
133 1 16.1743823923 13.2057581717 -64.8502698001 0 0 0
359 1 19.7453405672 12.5355384749 -63.0786029071 0 0 0
137 1 18.5530121297 13.219129813 -64.8708139752 0 0 0
130 1 12.6368719966 15.2737559498 -64.9055181023 0 0 0
348 1 11.4343395404 14.5784514481 -63.0597545622 0 0 0
387 1 14.9656993066 16.6524086434 -63.026284408 0 0 0
134 1 14.959834864 15.2494453368 -64.8012947734 0 0 0
391 1 17.3394970676 16.6532955896 -63.0569310314 0 0 0
138 1 17.3326869503 15.2567357286 -64.8496705534 0 0 0
356 1 16.1700768197 14.5698737243 -63.0442771606 0 0 0
395 1 19.7236649631 16.6473083305 -63.0723492881 0 0 0
142 1 19.7401782694 15.2660200021 -64.8845886283 0 0 0
360 1 18.5438744533 14.5832026204 -63.069710708 0 0 0
161 1 11.4232572256 17.3322569872 -64.8487251453 0 0 0
165 1 13.7537153588 17.3525747226 -64.7672139165 0 0 0
392 1 16.1425967494 18.7206334592 -63.0482250228 0 0 0
169 1 16.1204708547 17.3617731519 -64.8181551617 0 0 0
396 1 18.508878078 18.7130307215 -63.069425706 0 0 0
173 1 18.4892911352 17.3403318621 -64.8763577117 0 0 0
197 1 11.3600013271 21.4083581811 -64.8551728267 0 0 0
419 1 12.5528594306 20.7440492077 -63.0566722926 0 0 0
166 1 12.5364253147 19.3789047067 -64.82882367 0 0 0
201 1 13.7546541213 21.435216598 -64.8696758716 0 0 0
423 1 14.9515385203 20.7529736383 -63.0461017401 0 0 0
170 1 14.9370770874 19.419363073 -64.8161278615 0 0 0
174 1 17.3231122425 19.4198133828 -64.8592307841 0 0 0
205 1 16.1470497242 21.4552339959 -64.8458784018 0 0 0
209 1 18.550066609 21.4834052159 -64.8417723392 0 0 0
431 1 19.7216173099 20.7830109117 -63.0587900827 0 0 0
178 1 19.6937564357 19.4153440797 -64.8808061827 0 0 0
213 1 20.9274946587 21.4843418238 -64.8282784634 0 0 0
420 1 11.3872650923 22.7964409022 -63.0723040427 0 0 0
202 1 12.5587687919 23.4862639272 -64.8480985206 0 0 0
424 1 13.761467187 22.7975498256 -63.0598760569 0 0 0
206 1 14.9321990575 23.4689303843 -64.8764543049 0 0 0
428 1 16.1464952843 22.7910402951 -63.0553423857 0 0 0
210 1 17.3253780026 23.4782243604 -64.8343285892 0 0 0
432 1 18.5260004661 22.8077082408 -63.0505440578 0 0 0
214 1 19.708564343 23.5338270966 -64.8599497332 0 0 0
341 1 11.4369530216 13.2166972177 -61.2671303312 0 0 0
345 1 13.8054416662 13.2162734967 -61.2622212962 0 0 0
349 1 16.179861326 13.2086184232 -61.263665213 0 0 0
353 1 18.5513753354 13.2136689035 -61.271648189 0 0 0
383 1 12.6123433868 16.6552055327 -63.0408687236 0 0 0
1285 1 19.7229586077 23.457672588 -46.8250821628 0 0 0
346 1 12.6164207879 15.269788648 -61.2547499606 0 0 0
352 1 13.8080808155 14.58790397 -63.037687417 0 0 0
350 1 14.9820760157 15.2670763321 -61.2508650969 0 0 0
354 1 17.3539515269 15.2667451562 -61.2648581845 0 0 0
358 1 19.7270330471 15.2722793831 -61.2726083553 0 0 0
384 1 11.3899402609 18.691806667 -63.0462531979 0 0 0
377 1 11.4122392392 17.321504379 -61.2518071923 0 0 0
382 1 12.5793421706 19.3823104285 -61.2465841017 0 0 0
